"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Peng D.X.; Lai F.","Peng, David Xiaosong (36875201100); Lai, Fujun (9279789500)","36875201100; 9279789500","Using partial least squares in operations management research: A practical guideline and summary of past research","2012","Journal of Operations Management","30","6","","467","480","13","1151","10.1016/j.jom.2012.06.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865640523&doi=10.1016%2fj.jom.2012.06.002&partnerID=40&md5=7b9a6a4154256cbf5c902ede25b3025e","The partial least squares (PLS) approach to structural equation modeling (SEM) has been widely adopted in business research fields such as information systems, consumer behavior, and marketing. The use of PLS in the field of operations management is also growing. However, questions still exist among some operations management researchers regarding whether and how PLS should be used. To address these questions, our study provides a practical guideline for using PLS and uses examples from the operations management literature to demonstrate how the specific points in this guideline can be applied. In addition, our study reviews and summarizes the use of PLS in the recent operations management literature according to our guideline. The main contribution of this study is to present a practical guideline for evaluating and using PLS that is tailored to the operations management field. © 2012 Elsevier B.V.","Empirical research methods; Operations management; Partial least squares (PLS); Structural equation modeling (SEM)","Research; Business research; Empirical research method; Operations management; Partial least square (PLS); Practical guidelines; Structural equation modeling; Management","Article","Final","","Scopus","2-s2.0-84865640523"
"Köszegi B.; Rabin M.","Köszegi, Botond (6602526741); Rabin, Matthew (7004344312)","6602526741; 7004344312","A model of reference-dependent preferences","2006","Quarterly Journal of Economics","121","4","","1133","1165","32","1539","10.1162/qjec.121.4.1133","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646349613&doi=10.1162%2fqjec.121.4.1133&partnerID=40&md5=8b4fb4467a52366a830c1f3ba70654cf","We develop a model of reference-dependent preferences and loss aversion where ""gain-loss utility"" is derived from standard ""consumption utility"" and the reference point is determined endogenously by the economic environment. We assume that a person's reference point is her rational expectations held in the recent past about outcomes, which are determined in a personal equilibrium by the requirement that they must be consistent with optimal behavior given expectations. In deterministic environments, choices maximize consumption utility, but gain-loss utility influences behavior when there is uncertainty. Applying the model to consumer behavior, we show that willingness to pay for a good is increasing in the expected probability of purchase and in the expected prices conditional on purchase. In within-day labor-supply decisions, a worker is less likely to continue work if income earned thus far is unexpectedly high, but more likely to show up as well as continue work if expected income is high. © 2006 by the President and Fellows of Harvard College and the Massachusetts Institute of Technology.","","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-33646349613"
"Broda C.; Weinstein D.E.","Broda, Christian (6507947601); Weinstein, David E. (7102920169)","6507947601; 7102920169","Globalization and the gains from variety","2006","Quarterly Journal of Economics","121","2","","541","585","44","1131","10.1162/qjec.2006.121.2.541","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646346104&doi=10.1162%2fqjec.2006.121.2.541&partnerID=40&md5=ff45999a1975d2cbebe84e7cec2aed35","Since the seminal work of Krugman, product variety has played a central role in models of trade and growth. In spite of the general use of love-of-variety models, there has been no systematic study of how the import of new varieties has contributed to national welfare gains in the United States. In this paper we show that the unmeasured growth in product variety from U. S. imports has been an important source of gains from trade over the last three decades (1972-2001). Using extremely disaggregated data, we show that the number of imported product varieties has increased by a factor of three. We also estimate the elasticities of substitution for each available category at the same level of aggregation, and describe their behavior across time and SITC industries. Using these estimates, we develop an exact aggregate price index and find that the upward bias in the conventional import price index over this time period was 28 percent or 1.2 percentage points per year. We estimate the value to U. S. consumers of the expanded import varieties between 1972 and 2001 to be 2.6 percent of GDP. © 2006 by the President and Fellows of Harvard College and the Massachusetts Institute of Technology.","","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-33646346104"
"Krishna A.","Krishna, Aradhna (7103292398)","7103292398","An integrative review of sensory marketing: Engaging the senses to affect perception, judgment and behavior","2012","Journal of Consumer Psychology","22","3","","332","351","19","970","10.1016/j.jcps.2011.08.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863089016&doi=10.1016%2fj.jcps.2011.08.003&partnerID=40&md5=4b549c6b061488cc543db8780f62ff9e","I define ""sensory marketing"" as "". marketing that engages the consumers' senses and affects their perception, judgment and behavior."" From a managerial perspective, sensory marketing can be used to create subconscious triggers that characterize consumer perceptions of abstract notions of the product (e.g., its sophistication or quality). Given the gamut of explicit marketing appeals made to consumers every day, subconscious triggers which appeal to the basic senses may be a more efficient way to engage consumers. Also, these sensory triggers may result in consumers' self-generation of (desirable) brand attributes, rather than those verbally provided by the advertiser. The understanding of these sensory triggers implies an understanding of sensation and perception as it applies to consumer behavior-this is the research perspective of sensory marketing. This review article presents an overview of research on sensory perception. The review also points out areas where little research has been done, so that each additional paper has a greater chance of making a bigger difference and sparking further research. It is quite apparent from the review that there still remains tremendous need for research within the domain of sensory marketing-research that can be very impactful. © 2011 Society for Consumer Psychology.","Embodied cognition; Grounded cognition; Sensory marketing; Smell; Taste; Touch","","Review","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84863089016"
"Forman C.; Ghose A.; Wiesenfeld B.","Forman, Chris (6603788047); Ghose, Anindya (9845067800); Wiesenfeld, Batia (6603613122)","6603788047; 9845067800; 6603613122","Examining the relationship between reviews and sales: The role of reviewer identity disclosure in electronic markets","2008","Information Systems Research","19","3","","291","313","22","1405","10.1287/isre.1080.0193","https://www.scopus.com/inward/record.uri?eid=2-s2.0-48449101733&doi=10.1287%2fisre.1080.0193&partnerID=40&md5=9cac7ed2230cebf96f84f0eb1d6e85ba","Consumer-generated product reviews have proliferated online, driven by the notion that consumers' decision to purchase or not purchase a product is based on the positive or negative information about that product they obtain from fellow consumers. Using research on information processing as a foundation, we suggest that in the context of an online community, reviewer disclosure of identity-descriptive information is used by consumers to supplement or replace product information when making purchase decisions and evaluating the helpfulness of online reviews. Using a unique data set based on both chronologically compiled ratings as well as reviewer characteristics for a given set of products and geographical location-based purchasing behavior from Amazon, we provide evidence that community norms are an antecedent to reviewer disclosure of identity-descriptive information. Online community members rate reviews containing identity-descriptive information more positively, and the prevalence of reviewer disclosure of identity information is associated with increases in subsequent online product sales. In addition, we show that shared geographical location increases the relationship between disclosure and product sales, thus highlighting the important role of geography in electronic commerce. Taken together, our results suggest that identity-relevant information about reviewers shapes community members′ judgment of products and reviews. Implications for research on the relationship between online word-of-mouth (WOM) and sales, peer recognition and reputation systems, and conformity to online community norms are discussed. © 2008 INFORMS.","Digital markets; Identity disclosure; Information processing; Internet retailing; Online reviews; Social identity; User-generated content; Virtual communities","Commerce; Data processing; Electronic commerce; Sales; Social networking (online); Virtual reality; Digital markets; Identity disclosure; Internet retailing; Online reviews; Social identity; User-generated content; Virtual community; Online systems","Review","Final","All Open Access; Green Open Access","Scopus","2-s2.0-48449101733"
"Fogg B.J.","Fogg, B.J. (7003934995)","7003934995","Persuasive Technology: Using Computers to Change What We Think and Do","2003","Persuasive Technology: Using Computers to Change What We Think and Do","","","","1","282","281","2006","10.1016/B978-1-55860-643-2.X5000-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903855224&doi=10.1016%2fB978-1-55860-643-2.X5000-8&partnerID=40&md5=9ab45564089a344b09b0ab2a67ae9e88","Can computers change what you think and do? Can they motivate you to stop smoking, persuade you to buy insurance, or convince you to join the Army? ""Yes, they can,"" says Dr. B.J. Fogg, director of the Persuasive Technology Lab at Stanford University. Fogg has coined the phrase ""Captology""(an acronym for computers as persuasive technologies) to capture the domain of research, design, and applications of persuasive computers.In this thought-provoking book, based on nine years of research in captology, Dr. Fogg reveals how Web sites, software applications, and mobile devices can be used to change peoples attitudes and behavior. Technology designers, marketers, researchers, consumers-anyone who wants to leverage or simply understand the persuasive power of interactive technology-will appreciate the compelling insights and illuminating examples found inside. Persuasive technology can be controversial-and it should be. Who will wield this power of digital influence? And to what end? Now is the time to survey the issues and explore the principles of persuasive technology, and B.J. Fogg has written this book to be your guide. © 2003 Elsevier Inc. All rights reserved.","","","Book","Final","","Scopus","2-s2.0-84903855224"
"Callon M.; Méadel C.; Rabeharisoa V.","Callon, Michel (6603633713); Méadel, Cécile (26536155900); Rabeharisoa, Vololona (6603430502)","6603633713; 26536155900; 6603430502","The economy of qualities","2002","Economy and Society","31","2","","194","217","23","1003","10.1080/03085140220123126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036093691&doi=10.1080%2f03085140220123126&partnerID=40&md5=a5067f6bf29933f34d0284aea9c1cbd8","The aim of this paper is to highlight the main characteristics of what the authors call 'the economy of qualities'. The authors show that qualifying products and positioning goods are major concerns for agents evolving within the 'economy of qualities'. Competition in such an economy is structured through two basic mechanisms. The first is what the authors propose to call the process of singularization of products. The second is the mechanism whereby consumers are attached to, and detached from, goods that are proposed to them. At the heart of these logics, one can find multiple socio-technical devices that are designed by economic agents, which ensure the distribution of cognitive competencies, and which constantly and finely tune supply and demand. Relying upon Jean Gadrey's work, the authors claim that the economy of qualities is nowhere more effective than in services providing activities, and especially in those sectors that invest heavily in New Information and Communication Technologies (ICTs). Finally, the authors suggest that, in the economy of qualities, the functioning and the organization of markets are issues that are shared by scholars and actors. In these highly reflexive markets, a collaboration between them is needed.","Economy; Markets; Quality; Services","competition (economics); consumption behavior; information technology; service sector; theoretical study","Article","Final","","Scopus","2-s2.0-0036093691"
"Childers T.L.; Carr C.L.; Peck J.; Carson S.","Childers, Terry L. (6701404149); Carr, Christopher L. (55422270900); Peck, Joann (35610239400); Carson, Stephen (7102012114)","6701404149; 55422270900; 35610239400; 7102012114","Hedonic and utilitarian motivations for online retail shopping behavior","2001","Journal of Retailing","77","4","","511","535","24","2173","10.1016/S0022-4359(01)00056-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035691263&doi=10.1016%2fS0022-4359%2801%2900056-2&partnerID=40&md5=8c9a07f6cfc8e753e226b719ae23637f","Motivations to engage in retail shopping include both utilitarian and hedonic dimensions. Business to consumer e-commerce conducted via the mechanism of web-shopping provides an expanded opportunity for companies to create a cognitively and esthetically rich shopping environment in ways not readily imitable in the nonelectronic shopping world. In this article an attitudinal model is developed and empirically tested integrating constructs from technology acceptance research and constructs derived from models of web behavior. Results of two studies from two distinct categories of the interactive shopping environment support the differential importance of immersive, hedonic aspects of the new media as well as the more traditional utilitarian motivations. In addition, navigation, convenience, and the substitutability of the electronic environment to personally examining products were found to be important predictors of online shopping attitudes. Results are discussed in terms of insights for the creation of the online shopping webmosphere through more effective design of interactive retail shopping environments. © 2001 by New York University. All rights reserved.","Hedonic; Internet; Online shopping; Utilitarian; Web","","Article","Final","","Scopus","2-s2.0-0035691263"
"Lam S.Y.; Shankar V.; Erramilli M.K.; Murthy B.","Lam, Shun Yin (8051843600); Shankar, Venkatesh (7102439832); Erramilli, M. Krishna (6603169899); Murthy, Bvsan (8051843800)","8051843600; 7102439832; 6603169899; 8051843800","Customer value, satisfaction, loyalty, and switching costs: An illustration from a business-to-business service context","2004","Journal of the Academy of Marketing Science","32","3","","293","311","18","1212","10.1177/0092070304263330","https://www.scopus.com/inward/record.uri?eid=2-s2.0-3042609508&doi=10.1177%2f0092070304263330&partnerID=40&md5=415813070b8f2a00875c1fc00cc83b3b","Although researchers and managers pay increasing attention to customer value, satisfaction, loyalty, and switching costs, not much is known about their interrelationships. Prior research has examined the relationships within subsets of these constructs, mainly in the business-to-consumer (B2C) environment. The authors extend prior research by developing a conceptual framework linking all of these constructs in a business-to-business (B2B) service setting. On the basis of the cognition-affect-behavior model, the authors hypothesize that customer satisfaction mediates the relationship between customer value and customer loyalty, and that customer satisfaction and loyalty have significant reciprocal effects on each other. Furthermore, the potential interaction effect of satisfaction and switching costs, and the quadratic effect of satisfaction, on loyalty are explored. The authors test the hypotheses on data obtained from a courier service provider in a B2B context. The results support most of the hypotheses and, in particular, confirm the mediating wie of customer satisfaction.","Customer value; Loyalty; Satisfaction","","Review","Final","","Scopus","2-s2.0-3042609508"
"Hoffman D.L.; Novak T.P.","Hoffman, Donna L. (7402222109); Novak, Thomas P. (35831702800)","7402222109; 35831702800","Marketing in hypermedia computer-mediated environments: Conceptual foundations","1996","Journal of Marketing","60","3","","50","68","18","3361","10.2307/1251841","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030487126&doi=10.2307%2f1251841&partnerID=40&md5=2e6a68309af4662ccb0566e8f44ba40a","The authors address the role of marketing in hypermedia computer-mediated environments (CMEs). Their approach considers hypermedia CMEs to be large-scale (i.e., national or global) networked environments, of which the World Wide Web on the Internet is the first and current global implementation. They introduce marketers to this revolutionary new medium, propose a structural model of consumer navigation behavior in a CME that incorporates the notion of flow, and examine a series of research issues and marketing implications that follow from the model.","","","Article","Final","","Scopus","2-s2.0-0030487126"
