"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Jens C.E.","Jens, Candace E. (55363516200)","55363516200","Political uncertainty and investment: Causal evidence from U.S. gubernatorial elections","2017","Journal of Financial Economics","124","3","","563","579","16","459","10.1016/j.jfineco.2016.01.034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017545039&doi=10.1016%2fj.jfineco.2016.01.034&partnerID=40&md5=39eed2183e446ca59134c8baea92cc57","I examine the link between political uncertainty and firm investment using U.S. gubernatorial elections as a source of plausibly exogenous variation in uncertainty. Investment declines 5% before all elections and up to 15% for subsamples of firms particularly susceptible to political uncertainty. I use term limits as an instrumental variable (IV) for election closeness. Because close elections are related to economic downturns, I find that the effect of close elections on investment is understated by more than half by ordinary least squares (OLS). Post-election rebounds in investment depend on whether an incumbent is re-elected. Finally, I provide evidence that firms delay equity and debt issuances tied to investments before elections. © 2017","Gubernatorial elections; Investment; Political uncertainty","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85017545039"
"Campbell M.C.; Jeffrey Inman J.; Kirmani A.; Price L.L.","Campbell, Margaret C. (7403371734); Jeffrey Inman, J. (7005107829); Kirmani, Amna (6602489952); Price, Linda L. (7201882207)","7403371734; 7005107829; 6602489952; 7201882207","In times of trouble: A framework for understanding consumers’ responses to threats","2020","Journal of Consumer Research","47","3","","311","326","15","189","10.1093/jcr/ucaa036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092765687&doi=10.1093%2fjcr%2fucaa036&partnerID=40&md5=1a7d05457b17add37c289d47d29fe509","The COVID-19 pandemic and the accompanying economic downturn have dramatically impacted the lives of consumers around the world. From a conceptual perspective, such health and economic threats can severely disrupt consumers’ sense of ontological security and elicit adaptive responses by both consumers and marketers. Given the opportune timing, this issue of the Journal of Consumer Research is focused on articles that address questions of consumers’ responses to external threats. The purpose of this introduction is to provide an organizing “conceptual tapestry” to connect the articles appearing in the issue. This framework is provided as a tool to help researchers structure their particular projects within the broader landscape of consumer threat response and to present some potential directions for future research. In conjunction with these articles, we hope that this conceptual framework will provide a point of departure for researchers seeking to enhance the understanding of how consumers and markets collectively respond over the short term and long term to threats that disrupt consumers’ routines, lives, or even the fabric of society. © The Author(s) 2020. Published by Oxford University Press on behalf of Journal of Consumer Research, Inc. All rights reserved.","Consumer insecurity; Consumer response; COVID-19; Disruption; Economic; Health; Pandemic; Threat","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85092765687"
"Greenwood R.; Nagel S.","Greenwood, Robin (7202083980); Nagel, Stefan (8932601600)","7202083980; 8932601600","Inexperienced investors and bubbles","2009","Journal of Financial Economics","93","2","","239","258","19","181","10.1016/j.jfineco.2008.08.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67849086702&doi=10.1016%2fj.jfineco.2008.08.004&partnerID=40&md5=729bdfa7f29bbca89d849796356b0675","We use mutual fund manager data from the technology bubble to examine the hypothesis that inexperienced investors play a role in the formation of asset price bubbles. Using age as a proxy for managers' investment experience, we find that around the peak of the technology bubble, mutual funds run by younger managers are more heavily invested in technology stocks, relative to their style benchmarks, than their older colleagues. Furthermore, young managers, but not old managers, exhibit trend-chasing behavior in their technology stock investments. As a result, young managers increase their technology holdings during the run-up, and decrease them during the downturn. Both results are in line with the behavior of inexperienced investors in experimental asset markets. The economic significance of young managers' actions is amplified by large inflows into their funds prior to the peak in technology stock prices. © 2009 Elsevier B.V. All rights reserved.","Asset price bubbles; Investment experience; Investor age; Trend chasing","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-67849086702"
"Antonakakis N.; Dragouni M.; Filis G.","Antonakakis, Nikolaos (47761809100); Dragouni, Mina (56414884500); Filis, George (35799434800)","47761809100; 56414884500; 35799434800","How strong is the linkage between tourism and economic growth in Europe?","2015","Economic Modelling","44","","","142","155","13","174","10.1016/j.econmod.2014.10.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910024879&doi=10.1016%2fj.econmod.2014.10.018&partnerID=40&md5=d29158c9bfabb58b23c145fd83505738","In this study, we examine the dynamic relationship between tourism growth and economic growth, using a newly introduced spillover index approach. Based on monthly data for 10 European countries over the period 1995-2012, our analysis reveals the following empirical regularities. First, the tourism-economic growth relationship is not stable over time in terms of both magnitude and direction, indicating that the tourism-led economic growth (TLEG) and the economic-driven tourism growth (EDTG) hypotheses are time-dependent. Second, the aforementioned relationship is also highly economic event-dependent, as it is influenced by the Great Recession of 2007 and the ongoing Eurozone debt crisis that began in 2010. Finally, the impact of these economic events is more pronounced in Cyprus, Greece, Portugal and Spain, which are the European countries that have witnessed the greatest economic downturn since 2009. Plausible explanations of these results are provided and policy implications are drawn. © 2014 Elsevier B.V.","Economic-driven tourism growth; Europe; Spillover; Time-varying relationship; Tourism-led economic growth; Variance decomposition","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84910024879"
"Tavits M.","Tavits, Margit (9248914600)","9248914600","The development of stable party support: Electoral dynamics in post-communist Europe","2005","American Journal of Political Science","49","2","","283","298","15","261","10.1111/j.0092-5853.2005.00123.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-27744510921&doi=10.1111%2fj.0092-5853.2005.00123.x&partnerID=40&md5=e1c33dbe38e5728e8aa28b1742019a12","What conditions help stable patterns of party support to emerge? Using pooled time-series cross-section data on election results from 15 East European democracies, the empirical analysis finds that (1) right after a regime change electoral volatility increases while the trend is reversed after democracy has endured for about a decade; (2) ethnic cleavages have no effect on stability while social cleavages affect electoral stability only during economic downturns; (3) both institutions and economic performance influence the stability of party support; however, the effect of the latter diminishes over time when democracies mature. © 2005 by the Midwest Political Science Association.","","","Review","Final","All Open Access; Green Open Access","Scopus","2-s2.0-27744510921"
"Melo P.C.; Graham D.J.; Brage-Ardao R.","Melo, Patricia C. (25959661000); Graham, Daniel J. (55704315900); Brage-Ardao, Ruben (55777542600)","25959661000; 55704315900; 55777542600","The productivity of transport infrastructure investment: A meta-analysis of empirical evidence","2013","Regional Science and Urban Economics","43","5","","695","706","11","228","10.1016/j.regsciurbeco.2013.05.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879514391&doi=10.1016%2fj.regsciurbeco.2013.05.002&partnerID=40&md5=686890dfd9057c9579135917724112dc","Investments in transport infrastructure have been widely used by decision makers to encourage economic growth, particularly during periods of economic downturn. There has been extensive research on the linkage between transport infrastructure and economic performance since the late 1980s, characterised by widely varying evidence. We conduct a meta-analysis of the empirical evidence on the output elasticity of transport infrastructure, based on a sample of 563 estimates obtained from 33 studies. Previous meta-analyses have focused on total public capital and hence cannot appropriately explain the wide variation in the productivity effect of transport infrastructure nor provide guidance to policymakers on the returns to investment in different types of transport infrastructure. Our results indicate that the existing estimates of the productivity effect of transport infrastructure can vary across main industry groups, tend to be higher for the US economy than for European countries, and are higher for roads compared to other modes of transport. The variation in the estimates of the output elasticity of transport is also explained by differences in the methods and data used in previous studies. Failing to control for unobserved heterogeneity and spurious associations tends to result in higher values, while failing to control for urbanisation and congestion levels leads to omitted variable bias. These findings can be used to inform future research on the choice of model specification and estimation and transport-related policy making. © 2013 The Authors.","Economic performance; Meta-analysis; Transport infrastructure","Europe; United States; capital formation; decision making; economic growth; estimation method; future prospect; investment location; meta-analysis; model test; planning method; research work; transportation infrastructure; transportation mode; transportation policy","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84879514391"
"Lamey L.; Deleersnyder B.; Dekimpe M.G.; Steenkamp J.-B.E.M.","Lamey, Lien (16230580100); Deleersnyder, Barbara (6507728666); Dekimpe, Marnik G. (6701477193); Steenkamp, Jan-Benedict E. M. (7003930074)","16230580100; 6507728666; 6701477193; 7003930074","How business cycles contribute to private-label success: Evidence from the United States and Europe","2007","Journal of Marketing","71","1","","1","15","14","264","10.1509/jmkg.71.1.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247098270&doi=10.1509%2fjmkg.71.1.1&partnerID=40&md5=9ea5b72e7122447c0f74fb5857d0fc29","The growth of private labels over the past decades has been attributed to various factors. This article formally addresses the link between private-label success and economic expansions and contractions using recently developed time-series/econometric techniques. The findings confirm conventional wisdom that a country's privatelabel share increases when the economy is suffering and shrinks when the economy is flourishing. However, asymmetries are found in the extent to and speed with which private-label share changes in cyclical up- versus downturns. Consumers switch more extensively to store brands during bad economic times than they switch back to national brands in a subsequent recovery. In addition, the switch to private-label brands is faster than the opposite movement to national brands after the recession ends. Finally, not only are consumers more prone to buy private labels during economic downturns, but some keep buying them when bad economic times are long over as well, leaving permanent ""scars"" on national brands' performance level. The authors argue that national-brand manufacturers can mitigate the effect of an economic downturn on their shares by intensifying their marketingsupport activities in recessions. Such a proactive strategy is not often observed. On the contrary, available evidence suggests that many manufacturers exacerbate their predicament by cutting back on their marketing expenses when the economy turns sour. Most retailers invest more strongly in their private-label program when the economy deteriorates, making it even more difficult for national brands to catch up with the share lost during contractions. © 2007, American Marketing Association.","","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-34247098270"
"Getz D.","Getz, Donald (6603795742)","6603795742","Residents' attitudes towards tourism. A longitudinal study in Spey Valley, Scotland","1994","Tourism Management","15","4","","247","258","11","221","10.1016/0261-5177(94)90041-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028600729&doi=10.1016%2f0261-5177%2894%2990041-8&partnerID=40&md5=192ad11a15291bf8ae307fb4fbfd7ad5","Surveys were conducted in 1978 and 1992 to reveal perceptions and attitudes of residents of the Spey Valley, Scotland, towards tourism and related issues. It was found that a remarkable stability in attitudes persisted over the 14-year period and, although most residents are positive towards tourism, through use of an index of consensus it was revealed that negative views had somewhat increased. This can largely be explained by an economic downturn, decline of the main resort facility, and perceived failure of tourism to provide desired benefits - combined with recognition of the area's dependency on tourism. Conclusions are drawn for tourism planning and management in Spey Valley, and regarding the theory and uses of perception and attitude measures. © 1994.","costs/benefits; perceptions/attitudes; residents","UK, Scotland, Highland, Spey Valley; longitudinal studies; perception; residents' attitude; tourism activity","Article","Final","","Scopus","2-s2.0-0028600729"
"Allen L.; Bali T.G.; Tang Y.","Allen, Linda (7401630953); Bali, Turan G. (6603902847); Tang, Yi (35099592000)","7401630953; 6603902847; 35099592000","Does systemic risk in the financial sector predict future economic downturns?","2012","Review of Financial Studies","25","10","","3000","3036","36","255","10.1093/rfs/hhs094","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866718819&doi=10.1093%2frfs%2fhhs094&partnerID=40&md5=a8ef3b2a8c6f1a38022f46c3e8c879e9","We derive a measure of aggregate systemic risk, designated CATFIN, that complements bank-specific systemic risk measures by forecasting macroeconomic downturns six months into the future using out-of-sample tests conducted with U.S., European, and Asian bank data. Consistent with bank ""specialness, "" the CATFIN of both large and small banks forecasts macroeconomic declines, whereas a similarly defined measure for both nonfinancial firms and simulated ""fake banks"" has no marginal predictive ability. High levels of systemic risk in the banking sector impact the macroeconomy through aggregate lending activity. A conditional asset pricing model shows that CATFIN is priced for financial and nonfinancial firms.© The Author 2012. Published by Oxford University Press on behalf of The Society for Financial Studies. All rights reserved.","","","Review","Final","","Scopus","2-s2.0-84866718819"
"Tate W.L.","Tate, Wendy L. (20436733800)","20436733800","Offshoring and reshoring: U.S. insights and research challenges","2014","Journal of Purchasing and Supply Management","20","1","","66","68","2","146","10.1016/j.pursup.2014.01.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896395839&doi=10.1016%2fj.pursup.2014.01.007&partnerID=40&md5=f1051012bcb41fe217d814997899dc17","The phenomenon of reshoring to the U.S. has received wide attention ever since it became a political platform for U.S. politicians during the last presidential election. The economic downturn, a heightened emphasis on sustainability, and increasing customer expectations for flexibility and improved cost performance drove firms to re-consider the appropriate ""shoring"" decision. The intent of this research note is to add a U.S.-centric perspective to the ""shoring"" debate. © 2014 Elsevier Ltd.","In-sourcing; Location decision; Offshoring; Reshoring","","Article","Final","","Scopus","2-s2.0-84896395839"
